NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
254,"HS SUCCESS LEGACY",G1,PERAK,MANJUNG, 01-97745488, , Yes, Yes, Yes
255,"HUSNA RICH ENTERPRISE",G1,PERAK,MANJUNG, 0195941760, , Yes, Yes, Yes
256,"HYPER LINK ENTERPRISE",G1,PERAK,MANJUNG, 01-94442640, -, Yes, Yes, Yes
257,"I & H GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01114000431, , Yes, Yes, Yes
258,"I AND I SALES AND SERVICES",G1,PERAK,MANJUNG, 01-05764522, , Yes, Yes, Yes
259,"IDAMAN AZHA ENTERPRISE",G1,PERAK,MANJUNG, 01-95740404, 01-95740404, Yes, Yes, Yes
260,"IFDANZ GLOBAL TECH",G1,PERAK,MANJUNG, 01-95439233, , Yes, Yes, 
261,"IFFA JAFFNY ENTERPRISE",G1,PERAK,MANJUNG, 01-11128768, , Yes, Yes, Yes
262,"IJ DINAMIK ENTERPRISE",G1,PERAK,MANJUNG, 01-05556826, , Yes, Yes, Yes
263,"IKA TEGUH ENTERPRISE",G1,PERAK,MANJUNG, 0125228494, 056882695, Yes, Yes, Yes
264,"IKR SOLUTION",G1,PERAK,MANJUNG, 01-16233640, , Yes, Yes, Yes
265,"ILHAM JUTA  SDN. BHD.",G1,PERAK,, 05-6124078, , Yes, Yes, 
266,"ILTIZAM WAKALAH",G1,PERAK,MANJUNG, 01-32064782, , Yes, Yes, Yes
267,"INDAH ALWAANY ENTERPRISE",G1,PERAK,MANJUNG, 01-93227284, , Yes, Yes, Yes
268,"INF SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01-75378905, , Yes, Yes, Yes
269,"INFINITY MAXIMIZE ",G1,PERAK,MANJUNG, 01-68859631, , Yes, Yes, Yes
270,"INSPIRASI ZAIHATIQA",G1,PERAK,MANJUNG, 01-03765050, , Yes, Yes, Yes
271,"INTECH EMPIRE",G1,PERAK,MANJUNG, 01-64500677, 0, Yes, Yes, Yes
272,"IO ENTERPRISE",G1,PERAK,MANJUNG, 05-6889114, 05-6889114, Yes, Yes, Yes
273,"IPCONZ ENTERPRISE",G1,PERAK,MANJUNG, 01-24178848, , Yes, Yes, Yes
274,"IRISMA UNGGUL ENTERPRISE",G1,PERAK,MANJUNG, 01-25229434, 0, Yes, Yes, Yes
275,"IRZAD LEGACY",G1,PERAK,MANJUNG, 0182024268, , Yes, Yes, Yes
276,"ISMAIL GEMILANG ENTERPRISE",G1,PERAK,MANJUNG, 0104690736, , Yes, Yes, Yes
277,"ISSE RESOURCES",G1,PERAK,MANJUNG, 01-13250737, , Yes, Yes, Yes
278,"ISZAM MAS",G1,PERAK,MANJUNG, 01-95642629, , Yes, Yes, Yes
279,"IZHAN BINA LEGACY",G1,PERAK,MANJUNG, 01-24354056, , Yes, Yes, Yes
280,"IZS BRILLIANT ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
281,"IZZ MAJU NETWORK",G1,PERAK,MANJUNG, 01121901519, , Yes, Yes, Yes
282,"IZZI GLOBAL",G1,PERAK,MANJUNG, 0197304405, , Yes, Yes, Yes
283,"IZZREAL ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
284,"JACOB PLUMBING",G1,PERAK,MANJUNG, 05-6915575, , Yes, , 
285,"JAFDEQ ENTERPRISE",G1,PERAK,MANJUNG, 056888240, 056888240, Yes, Yes, Yes
286,"JAGAT SATU ENTERPRISE",G1,PERAK,MANJUNG, 01-95762310, 0, Yes, Yes, Yes
287,"JALINAN KLASIK ENTERPRISE",G1,PERAK,MANJUNG, 01-25172321, -, Yes, Yes, Yes
288,"JALUR SEMANGAT (M) SDN. BHD.",G1,PERAK,MANJUNG, 0135937702, -, Yes, Yes, Yes
289,"JANA FARZAN ENTERPRISE",G1,PERAK,MANJUNG, 056888817, 056888817, Yes, Yes, Yes
290,"JANAR RESOURCES",G1,PERAK,MANJUNG, 01-12423556, , Yes, Yes, Yes
291,"JANOR GEMILANG",G1,PERAK,MANJUNG, 0174156297, -, Yes, Yes, Yes
292,"JAS CONTRACT & TRADING",G1,PERAK,MANJUNG, 01-03799009, -, Yes, Yes, Yes
293,"JASA AMIR ENTERPRISE",G1,PERAK,MANJUNG, 1-170796967, , Yes, Yes, Yes
294,"JATINITA",G1,PERAK,MANJUNG, 01-62222651, -, Yes, Yes, Yes
295,"JEARBATS ENTERPRISE",G1,PERAK,MANJUNG, 01111193132, , Yes, Yes, 
296,"JEJAK BINA LEGACY",G1,PERAK,MANJUNG, 01-75826295, , Yes, Yes, 
297,"JEP SHIDA ENTERPRISE",G1,PERAK,MANJUNG, 01-94568723, , Yes, Yes, Yes
298,"JER LOAN ENTERPRISE",G1,PERAK,MANJUNG, 0197155282, 0, Yes, Yes, Yes
299,"JERNIH JAYA ENTERPRISE",G1,PERAK,MANJUNG, 056884100, 056884100, Yes, Yes, Yes
300,"JNN TEGUH RESOURCES",G1,PERAK,MANJUNG, 05-56912695, , Yes, Yes, Yes
301,"JONIKA ENTERPRISE",G1,PERAK,MANJUNG, 01-28262834, , Yes, Yes, Yes
302,"JSA AMIN ENTERPRISE",G1,PERAK,MANJUNG, 01-94649067, , Yes, Yes, Yes
303,"JUIS ENTERPRISE",G1,PERAK,MANJUNG, 01-25171005, 056920658, Yes, Yes, Yes
304,"JURAGAN GIGIH ENTERPRISE",G1,PERAK,MANJUNG, 056791376, -, Yes, Yes, Yes
305,"K.C.Y.BINA ENTERPRISE",G1,PERAK,MANJUNG, 0175860584, -, Yes, Yes, Yes
306,"KAFNEE ENTERPRISE",G1,PERAK,MANJUNG, 056885768, 056881951, Yes, Yes, Yes
307,"KAK NAMAH ENTERPRISE",G1,PERAK,MANJUNG, 01-75562522, , Yes, Yes, Yes
308,"KAYAN BINA ENTERPRISE",G1,PERAK,MANJUNG, 01-25217476, , Yes, Yes, Yes
309,"KAZMIR ENTERPRISE",G1,PERAK,MANJUNG, 01-23817281, -, Yes, Yes, Yes
310,"KEJURULAUTAN PADU",G1,PERAK,MANJUNG, 01-35373653, 05-6914261, Yes, Yes, Yes
311,"KELIS TECH ENTERPRISE",G1,PERAK,MANJUNG, 0195671445, 0, Yes, Yes, Yes
312,"KEPAH ENTERPRISE",G1,PERAK,MANJUNG, 01121502807, -, Yes, Yes, Yes
313,"KHAIBINA LEGACY",G1,PERAK,MANJUNG, 01156550012, , Yes, Yes, Yes
314,"KHAILYN LEGACY",G1,PERAK,MANJUNG, 01-94078899, , Yes, Yes, Yes
315,"KHAIRAINI ENTERPRISE",G1,PERAK,MANJUNG, 01-24478349, , Yes, Yes, Yes
316,"KHAIRIZ GLOBAL",G1,PERAK,MANJUNG, 0108690012, , Yes, Yes, Yes
317,"KHAITECH GROUP SDN. BHD.",G1,PERAK,MANJUNG, 0103078078, , Yes, Yes, Yes
318,"KIARIL ENTERPRISE",G1,PERAK,MANJUNG, 01-95600316, , Yes, Yes, Yes
319,"KIJANG EMAS SUPPLY & SERVICES",G1,PERAK,MANJUNG, 01-95906561, , Yes, Yes, Yes
320,"KIS SUCCESS ENTERPRISE",G1,PERAK,MANJUNG, 01-34455096, , Yes, Yes, Yes
321,"KITA PASTI MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-23456140, , Yes, Yes, Yes
322,"KNN MANJUNG ENTERPRISE",G1,PERAK,MANJUNG, 01-02765239, , Yes, Yes, Yes
323,"KOPERASI NIAGA SATU HATI BERHAD",G1,PERAK,MANJUNG, 01-25503650, , Yes, Yes, 
324,"KOPERASI PEKEBUN KECIL MANJUNG BERHAD",G1,PERAK,MANJUNG, 056723092, 056726536, Yes, Yes, Yes
325,"KREATIF BINA",G1,PERAK,MANJUNG, 056791633, -, Yes, Yes, Yes
326,"KSL SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01-95651647, , Yes, , 
327,"KULAANKU ENTERPRISE",G1,PERAK,MANJUNG, 056791299, 056793272, Yes, Yes, Yes
328,"KUSTAMAN ENTERPRISE",G1,PERAK,MANJUNG, 01-35814262, -, Yes, Yes, Yes
329,"KUZA BARAKAH LEGACY",G1,PERAK,MANJUNG, 01-46844382, , Yes, Yes, Yes
330,"KUZIE EMPIRE",G1,PERAK,MANJUNG, 01-73994173, , Yes, Yes, Yes
331,"KVN ENTERPRISE",G1,PERAK,MANJUNG, 01-64403002, , Yes, , 
332,"KYRASYA BINA RESOURCES",G1,PERAK,MANJUNG, 01-62150355, , Yes, Yes, Yes
333,"L DUA TIGA DUA ENTERPRISE",G1,PERAK,MANJUNG, 0125026506, -, Yes, Yes, Yes
334,"LASKAR SETIA ENTERPRISE",G1,PERAK,MANJUNG, 01-95671590, , Yes, Yes, Yes
335,"LAUTAN SUCI ENTERPRISE",G1,PERAK,MANJUNG, 01-36381834, 05-6920408, Yes, Yes, Yes
336,"LEGASI AKTIF",G1,PERAK,MANJUNG, 012-5315741, , Yes, Yes, Yes
337,"LEGASI ARA SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01136321473, , Yes, Yes, Yes
338,"LEGASI KM ENTERPRISE",G1,PERAK,MANJUNG, 01-03908258, , Yes, Yes, Yes
339,"LEKIR BINA CONSTRUCTION  SDN. BHD.",G1,PERAK,MANJUNG, 0194262869, 0, Yes, Yes, Yes
340,"LEKIR HIGHWAY ENTERPRISE",G1,PERAK,MANJUNG, 056791080, -, Yes, Yes, Yes
341,"LIFIQAH KRISTAL ENTERPRISE",G1,PERAK,MANJUNG, 01-38174565, , Yes, Yes, Yes
342,"LOHEN ENTERPRISE",G1,PERAK,MANJUNG, 01-11147368, , Yes, , 
343,"LSA NETWORK",G1,PERAK,MANJUNG, 01-35016895, , Yes, Yes, Yes
344,"LUMUT NAUTICA RESOURCES",G1,PERAK,MANJUNG, 01116895549, , Yes, Yes, Yes
345,"LUMUT VENTURE SDN. BHD.",G1,PERAK,MANJUNG, 056885579, 056884087, Yes, Yes, Yes
346,"LYJAN DYNAMIC SOLUTION",G1,PERAK,MANJUNG, 01-95939309, , Yes, Yes, 
347,"LYNDA & LYNA ENTERPRISE",G1,PERAK,MANJUNG, 01-95748268, , Yes, Yes, Yes
348,"M & J SUPPLY AND SERVICES ENTERPRISE",G1,PERAK,MANJUNG, 01-25419903, , Yes, Yes, Yes
349,"MAAMOR JAYA ENTERPRISE",G1,PERAK,MANJUNG, 056922436, 05-6922436, Yes, Yes, Yes
350,"MADIR ENTERPRISE",G1,PERAK,MANJUNG, 01-25775296, , Yes, Yes, Yes
351,"MAE GROUP ENTERPRISE",G1,PERAK,MANJUNG, 01111305539, , Yes, Yes, Yes
352,"MAHATAN ENTERPRISE",G1,PERAK,MANJUNG, 01-83884198, , Yes, Yes, Yes
353,"MAJU HAZI GEMILANG RESOURCES",G1,PERAK,MANJUNG, 05-6870987, , Yes, Yes, Yes
354,"MAKRO JAYA ENTERPRISE",G1,PERAK,MANJUNG, 05-6884152, , Yes, Yes, Yes
355,"MALONIX ENTERPRISE",G1,PERAK,MANJUNG, 01-11147368, , Yes, , 
356,"MALVINN EMPIRE",G1,PERAK,MANJUNG, 01-75830669, , Yes, , 
357,"MANJE KU MANJE ENTERPRISE",G1,PERAK,MANJUNG, 01-82177008, , Yes, Yes, 
358,"MANJUNG SERVICE CENTRE",G1,PERAK,MANJUNG, 01-25144766, , Yes, Yes, Yes
359,"MARSKLIN ENTERPRISE",G1,PERAK,MANJUNG, 0195706551, -, Yes, Yes, Yes
360,"MASFAR ENTERPRISE",G1,PERAK,MANJUNG, 01-68825465, , Yes, Yes, Yes
361,"MASPROTAX RESOURCES",G1,PERAK,MANJUNG, 01-95125125, , Yes, Yes, Yes
362,"MASYHUR 3 D ENTERPRISE",G1,PERAK,MANJUNG, 01-75108192, , Yes, Yes, Yes
363,"MAVIC PRO ENTERPRISE",G1,PERAK,MANJUNG, 01-37427127, , Yes, Yes, Yes
364,"MAWAR ARIF ENTERPRISE",G1,PERAK,MANJUNG, 01136294048, , Yes, Yes, Yes
365,"MAYZAX ENTERPRISE",G1,PERAK,MANJUNG, 056791485, -, Yes, Yes, Yes
366,"MAZA KRONI ENTERPRISE",G1,PERAK,MANJUNG, 01-43057675, , Yes, Yes, Yes
367,"MAZZ VENTURE",G1,PERAK,MANJUNG, 01-18888787, , Yes, Yes, Yes
368,"MBA BINA LEGACY",G1,PERAK,MANJUNG, 01-13951154, , Yes, Yes, Yes
369,"MBA MAJU JAYA ENTERPRISE",G1,PERAK,MANJUNG, 0185784700, 0, Yes, Yes, Yes
370,"MBI BERKAT MAJU VENTURES",G1,PERAK,MANJUNG, 01-92656009, , Yes, Yes, Yes
371,"MD OSMAN ENTERPRISE",G1,PERAK,MANJUNG, 01-75320065, -, Yes, Yes, Yes
372,"MDA TERAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-04588080, , Yes, , 
373,"MEBS SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01-25388343, , Yes, Yes, Yes
374,"MECH CRANE ENGINEERING",G1,PERAK,MANJUNG, 01-84024721, 03-, Yes, , 
375,"MEENT ENTERPRISE",G1,PERAK,MANJUNG, 01-15505058, , Yes, Yes, Yes
376,"MEGA ARTAMI ENTERPRISE",G1,PERAK,MANJUNG, 01-46025658, , Yes, Yes, Yes
377,"MEGA KAHFI ENTERPRISE",G1,PERAK,MANJUNG, 01-65055658, 0, Yes, Yes, Yes
378,"MEGA MANJUNG ENTERPRISE",G1,PERAK,MANJUNG, -, 05-6793826, Yes, Yes, Yes
379,"MEGA XAMIDS EMPIRE",G1,PERAK,MANJUNG, 01-64222771, , Yes, Yes, Yes
380,"MEGA ZEBRA ENTERPRISE",G1,PERAK,MANJUNG, 05-6916653, 056916653, Yes, Yes, Yes
381,"MELATI ELIT ENTERPRISE",G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
382,"MERAH SALJU ENTERPRISE",G1,PERAK,MANJUNG, 05-6912833, , Yes, Yes, Yes
383,"MERAK EMAS VENTURES",G1,PERAK,MANJUNG, 01-92837669, , Yes, Yes, 
384,"MERANTD ENTERPRISE",G1,PERAK,MANJUNG, 0174169829, 01-74169829, Yes, Yes, Yes
385,"METO IMPACT VENTURES",G1,PERAK,MANJUNG, 01-35045398, , Yes, Yes, Yes
386,"MF VENTURE ENTERPRISE",G1,PERAK,MANJUNG, 01-25715875, , Yes, Yes, Yes
387,"MFM CEPAT MAJU RESOURCES",G1,PERAK,MANJUNG, 0175088045, , Yes, Yes, Yes
388,"MFMW ENTERPRISE",G1,PERAK,MANJUNG, 01-, , Yes, Yes, Yes
389,"MFMZ EMPIRE",G1,PERAK,MANJUNG, 01136220172, , Yes, Yes, Yes
390,"MH ALL RICH ENTERPRISE",G1,PERAK,MANJUNG, 01-82395008, , Yes, , 
391,"MH CORE ENTERPRISE",G1,PERAK,MANJUNG, 01-62312190, , Yes, Yes, Yes
392,"MIDE ENTERPRISE",G1,PERAK,MANJUNG, 01-75361870, -, Yes, Yes, Yes
393,"MIH NIAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-25080249, , Yes, Yes, Yes
394,"MIKHAIL EKSKLUSIF",G1,PERAK,MANJUNG, 05-6888449, , Yes, Yes, Yes
395,"MILLENIUM ICHABAN JUNIOR",G1,PERAK,MANJUNG, 0125521852, -, Yes, Yes, Yes
396,"MILLENNIUM ICHIBAN SDN. BHD.",G1,PERAK,, 01-25235631, , Yes, Yes, Yes
397,"MILTRADE GLOBAL (M) SDN. BHD.",G1,PERAK,MANJUNG, 01156456979, , Yes, Yes, 
398,"MINSAHAB ENTERPRISE",G1,PERAK,MANJUNG, 0134059495, , Yes, Yes, Yes
399,"MISA MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-11128842, , Yes, Yes, Yes
400,"MISI MUSA ENTERPRISE",G1,PERAK,MANJUNG, 05-6915994, 05-6915994, Yes, Yes, Yes
401,"MJA GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01-, , Yes, Yes, Yes
402,"MK & K RESOURCES SDN. BHD.",G1,PERAK,MANJUNG, 056871850, 056871852, Yes, Yes, Yes
403,"MKA BARAKAH ENTERPRISE",G1,PERAK,MANJUNG, 01-32841175, , Yes, Yes, Yes
404,"MLAPAN ENTERPRISE",G1,PERAK,MANJUNG, 01-72677017, , Yes, Yes, Yes
405,"MLN ENTERPRISE",G1,PERAK,MANJUNG, 01-74176656, , Yes, Yes, Yes
406,"MMS SUPPLY",G1,PERAK,MANJUNG, 01-24632077, , Yes, Yes, Yes
407,"MN PRO SOLUTION",G1,PERAK,MANJUNG, 0, 0, Yes, Yes, Yes
408,"MOHD ZAIDI BIN AB RAHMAN",G1,PERAK,MANJUNG, 01116808938, , Yes, Yes, Yes
409,"MOQAL ENTERPRISE",G1,PERAK,MANJUNG, 01-25060607, -, Yes, Yes, Yes
410,"MOZANOR ENTERPRISE",G1,PERAK,MANJUNG, 01-95122973, 05-6886029, Yes, Yes, Yes
411,"MOZUL RESOURCES",G1,PERAK,MANJUNG, 01-79433845, , Yes, Yes, Yes
412,"MPM MECHANICAL & ELECTRICAL SDN. BHD.",G1,PERAK,MANJUNG, 0, , Yes, , 
413,"MRBS TECHNIC AND SERVICES",G1,PERAK,MANJUNG, 01-95098322, , Yes, Yes, Yes
414,"MSEEFARZ GLOBAL",G1,PERAK,MANJUNG, 01-25370453, , Yes, Yes, Yes
415,"MSLOKA ENTERPRISE",G1,PERAK,MANJUNG, 01172727267, , Yes, Yes, Yes
416,"MTS 2 ENTERPRISE",G1,PERAK,MANJUNG, 01-34545877, , Yes, Yes, Yes
417,"MUQJIZAT RESOURCES",G1,PERAK,MANJUNG, 01-28236036, , Yes, Yes, Yes
418,"MURTHY RAMALU CONSTRUCTION",G1,PERAK,MANJUNG, 01-64185859, -, Yes, , 
419,"MUTIARA SALJU ENTERPRISE",G1,PERAK,MANJUNG, 05-6888349, , Yes, Yes, Yes
420,"MUTIARA SUTERA GLOBAL",G1,PERAK,MANJUNG, 01-25244781, 0, Yes, Yes, Yes
421,"MZ SPACE ENTERPRISE",G1,PERAK,MANJUNG, 01121289364, , Yes, Yes, Yes
422,"N & I SOLUTION GLOBAL",G1,PERAK,MANJUNG, 01-79955894, , Yes, Yes, Yes
423,"NABB ENTERPRISE",G1,PERAK,MANJUNG, 01-75663634, , Yes, Yes, Yes
424,"NABILAH MH RESOURCES",G1,PERAK,MANJUNG, 01-62519015, , Yes, Yes, Yes
425,"NADHIRMAIL RESOURCES",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
426,"NADI BEKAL TRADING",G1,PERAK,MANJUNG, 01-95125125, , Yes, Yes, Yes
427,"NAFA SOLUTION ENTERPRISE",G1,PERAK,MANJUNG, 01-34719586, , Yes, Yes, Yes
428,"NAILA EMPIRE",G1,PERAK,MANJUNG, 05-6888349, , Yes, Yes, Yes
429,"NAN MAZ ENTERPRISE",G1,PERAK,MANJUNG, 01-89577958, , Yes, Yes, Yes
430,"NASAHROM ENTERPRISE",G1,PERAK,MANJUNG, 0, 0, Yes, Yes, Yes
431,"NASOMA ENTERPRISE",G1,PERAK,MANJUNG, 056871881, 056871881, Yes, Yes, Yes
432,"NASRAF ENTERPRISE",G1,PERAK,MANJUNG, 01-95422501, , Yes, Yes, Yes
433,"NAZ IDEAL LEGACY",G1,PERAK,MANJUNG, 01-95964715, , Yes, Yes, Yes
434,"NDIN ENTERPRISE",G1,PERAK,MANJUNG, 01-95241677, , Yes, Yes, Yes
435,"NEE ENTERPRISE",G1,PERAK,MANJUNG, 01-35512535, , Yes, Yes, Yes
436,"NEF SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 01-75404470, , Yes, Yes, Yes
437,"NENASTI ENTERPRISE",G1,PERAK,MANJUNG, 056727690, 056727690, Yes, Yes, Yes
438,"NH HARTA ENTERPRISE",G1,PERAK,MANJUNG, 01-95659830, 05-6926445, Yes, Yes, Yes
439,"NHN ASCEND VENTURE SDN. BHD.",G1,PERAK,MANJUNG, 01-26183530, , Yes, Yes, Yes
440,"NHO MEKAR RESOURCES",G1,PERAK,MANJUNG, 01-25960454, , Yes, Yes, Yes
441,"NHO SMARTFIX RESOURCES",G1,PERAK,MANJUNG, 0125960454, , Yes, Yes, Yes
442,"NIAN MERAH CONSTRUCTION AND SUPPLIES",G1,PERAK,MANJUNG, 01-69358577, , Yes, Yes, Yes
443,"NINA KARINA DIANA ENTERPRISE",G1,PERAK,MANJUNG, 05-6871080, 05-6871082, Yes, Yes, 
444,"NISTECH JAYA ENTERPRISE",G1,PERAK,MANJUNG, 05-6972479, 05-6972478, Yes, Yes, Yes
445,"NKF FUTURE",G1,PERAK,MANJUNG, 01-35925980, , Yes, Yes, Yes
446,"NLA NIAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-24423420, -, Yes, Yes, Yes
447,"NM TECH RESOURCES",G1,PERAK,MANJUNG, 01-25437760, , Yes, Yes, Yes
448,"NN FLORA ENTERPRISE",G1,PERAK,MANJUNG, 01-34444223, -, Yes, Yes, Yes
449,"NORFAR EMPIRE",G1,PERAK,MANJUNG, 01111173076, , Yes, Yes, Yes
450,"NR ENERGY ENTERPRISE",G1,PERAK,MANJUNG, 01-34337564, , Yes, Yes, Yes
451,"NRLL SHAHIRA ENTERPRISE",G1,PERAK,MANJUNG, 01-95600316, , Yes, Yes, Yes
452,"NS PINK EMPIRE",G1,PERAK,MANJUNG, 0193894656, , Yes, Yes, Yes
453,"NSO BINA ENTERPRISE",G1,PERAK,MANJUNG, 05-6926445, , Yes, Yes, Yes
454,"NSR SERI JAYA ENTERPRISE",G1,PERAK,MANJUNG, 05-56912695, , Yes, Yes, Yes
455,"NTS SUPPLY & SERVICE",G1,PERAK,MANJUNG, 01-25089970, , Yes, Yes, Yes
456,"NURHA DYNAMIC ENTERPRISE",G1,PERAK,MANJUNG, 01-93184172, , Yes, Yes, Yes
457,"NURUL KIMPALAN ENTERPRISE",G1,PERAK,MANJUNG, 01-34479442, , Yes, Yes, Yes
458,"NURULSHAM ENTERPRISE",G1,PERAK,MANJUNG, 01-93591282, , Yes, Yes, Yes
459,"NUSANTARA IMPIAN ENTERPRISE",G1,PERAK,MANJUNG, 01-64444551, , Yes, Yes, Yes
460,"NZ WORLD ENTERPRISE",G1,PERAK,MANJUNG, 01-94401969, , Yes, Yes, Yes
461,"NZAM BGD ENTERPRISE",G1,PERAK,MANJUNG, 05-6886609, , Yes, Yes, Yes
462,"OCEAN PRO TECH SDN. BHD.",G1,PERAK,MANJUNG, 01-32922696, , Yes, Yes, Yes
463,"OCEAN WAVES RESOURCES",G1,PERAK,MANJUNG, 01-95745047, , Yes, Yes, Yes
464,"OCTAVIA ENTERPRISE",G1,PERAK,MANJUNG, 01-94199478, -, Yes, Yes, Yes
465,"OEA ENGINEERING AND TRADING",G1,PERAK,MANJUNG, 0168784877, , Yes, Yes, Yes
466,"OLY JAYA ENTERPRISE",G1,PERAK,MANJUNG, 05-6888713, -, Yes, Yes, Yes
467,"ONE POWER SUPPLY N SERVICES",G1,PERAK,MANJUNG, 0135183074, , Yes, Yes, Yes
468,"ONE WORLD ENERGY ENTERPRISE",G1,PERAK,MANJUNG, 01-95897107, -, Yes, Yes, Yes
469,"ONGLAI CENTRE",G1,PERAK,MANJUNG, 01-25489880, , Yes, , 
470,"OPPDMEF ENTERPRISE",G1,PERAK,MANJUNG, 01-95671144, , Yes, Yes, Yes
471,"ORIZDI ENTERPRISE",G1,PERAK,MANJUNG, 056888169, 056889114, Yes, Yes, Yes
472,"PACIFIC EMPIRE",G1,PERAK,MANJUNG, 01-64742877, , Yes, Yes, 
473,"PADANG LENGA BINA ENTERPRISE",G1,PERAK,MANJUNG, 0124402298, , Yes, Yes, Yes
474,"PAK NDAK RESOURCES",G1,PERAK,MANJUNG, 01-98671572, , Yes, Yes, Yes
475,"PANTAS CEMERLANG ENTERPRISE",G1,PERAK,MANJUNG, 01-03835039, -, Yes, Yes, Yes
476,"PANTIKAS ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
477,"PASIR PANTAI ENTERPRISE",G1,PERAK,MANJUNG, 05-6721540, -, Yes, Yes, Yes
478,"PASTIMAS ENTERPRISE",G1,PERAK,MANJUNG, 05-6884327, 05-6889303, Yes, Yes, Yes
479,"PASTINI TRADING",G1,PERAK,MANJUNG, 0194606123, , Yes, Yes, Yes
480,"PAYA RUMPUN ENTERPRISE",G1,PERAK,MANJUNG, 012-5064722, 05-6888515, Yes, Yes, Yes
481,"PEMBINAAN MAHRAWI PARLAN",G1,PERAK,MANJUNG, 056916785, 056916785, Yes, Yes, Yes
482,"PEMBINAAN SABRI",G1,PERAK,MANJUNG, 0125226789, -, Yes, Yes, Yes
483,"PEMBINAAN SRI AWAN",G1,PERAK,MANJUNG, 01-24020729, -, Yes, Yes, Yes
484,"PEMBORONG USAHA JAYA",G1,PERAK,MANJUNG, 01-25150575, -, Yes, Yes, Yes
485,"PENAGA SUTRA ENTERPRISE",G1,PERAK,MANJUNG, -, 05-6915323, Yes, Yes, Yes
486,"PENJANA IMPIAN ENTERPRISE",G1,PERAK,MANJUNG, 01-12649337, , Yes, Yes, Yes
487,"PERGAU ENTERPRISE",G1,PERAK,MANJUNG, 01-74264342, , Yes, Yes, Yes
488,"PERIDAH BINA ENTERPRISE",G1,PERAK,MANJUNG, 056887950, -, Yes, Yes, Yes
489,"PERMODALAN NELAYAN (PERAK) SENDIRIAN BERHAD",G1,PERAK,MANJUNG, 05-6913816, 05-6910237, Yes, Yes, Yes
490,"PERNIAGAAN ABDUL RANEE DAN ANAK",G1,PERAK,MANJUNG, 01115398382, -, Yes, Yes, Yes
491,"PERTUBUHAN PELADANG KAWASAN BRUAS / PENGKALAN BHARU",G1,PERAK,MANJUNG, 056749292, 056749641, Yes, Yes, Yes
492,"PESONA INDAH ENTERPRISE",G1,PERAK,MANJUNG, 056792646, -, Yes, Yes, Yes
493,"PMR DESIGN CONSTRUCTION",G1,PERAK,MANJUNG, 01-65370358, 0, Yes, , 
494,"PRINCIPLE PRIMA ENTERPRISE",G1,PERAK,MANJUNG, 01-82704318, , Yes, Yes, Yes
495,"PROSPEK NIAGA ENTERPRISE",G1,PERAK,MANJUNG, 0, 0, Yes, Yes, Yes
496,"PROSTAR ENERGY ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
497,"PROX RESOURCES",G1,PERAK,MANJUNG, 01-24231392, , Yes, Yes, Yes
498,"PUNCAK ABADI LEGACY",G1,PERAK,MANJUNG, 01-75108192, , Yes, Yes, Yes
499,"PUNCAK MELOR ENTERPRISE",G1,PERAK,MANJUNG, 056924201, -, Yes, Yes, Yes
500,"Q & A EMPIRE SOLUTIONS",G1,PERAK,MANJUNG, 05-6881321, , Yes, Yes, Yes
501,"QAISARA & QALISA ENTERPRISE",G1,PERAK,MANJUNG, 01-47596030, , Yes, Yes, 
502,"QAISARAH ENTERPRISE",G1,PERAK,MANJUNG, 01-22106675, 0, Yes, Yes, Yes
503,"QAIYUM VENTURE",G1,PERAK,MANJUNG, 01-35291402, , Yes, Yes, Yes
504,"QAMAR GREEN ENTERPRISE",G1,PERAK,MANJUNG, 01132250831, , Yes, Yes, Yes
505,"QANAAH RESOURCES",G1,PERAK,MANJUNG, 05-6884818, , Yes, Yes, Yes
506,"QASAS USAHA RESOURCES",G1,PERAK,MANJUNG, 01-92887669, , Yes, Yes, 
507,"QISMU WIRA SDN. BHD.",G1,PERAK,MANJUNG, 01-95575373, , Yes, Yes, Yes
508,"R & Z PRIMA RESOURCES",G1,PERAK,MANJUNG, 01-95900436, , Yes, Yes, Yes
509,"R&M 99 SERVICES",G1,PERAK,MANJUNG, 01-74748413, , Yes, Yes, 
