NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
59,"AR RAWDAH SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 05-6914195, -, Yes, Yes, Yes
60,"AR REEZKI RAUDHAH ENTERPRISE",G1,PERAK,MANJUNG, 01-11440829, , Yes, Yes, Yes
61,"ARIFJAMAL ENTERPRISE",G1,PERAK,MANJUNG, 01-13788181, , Yes, Yes, Yes
62,"ARMADA SHIFAA ENTERPRISE",G1,PERAK,MANJUNG, 01-34887940, , Yes, Yes, Yes
63,"ARUS SAMUDERA RESOURCES",G1,PERAK,MANJUNG, 01-42404847, , Yes, Yes, Yes
64,"ARUS SAMUDERA SDN. BHD.",G1,PERAK,MANJUNG, 05-6881258, 05-6881207, Yes, Yes, Yes
65,"ARUS TENAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-43471012, , Yes, Yes, Yes
66,"ARUZA JAYA ENTERPRISE",G1,PERAK,MANJUNG, 0195743325, -, Yes, Yes, Yes
67,"ARUZZ NIAGA",G1,PERAK,MANJUNG, 01-35290638, , Yes, Yes, Yes
68,"ARWANA EMAS",G1,PERAK,MANJUNG, 056834976, 056834976, Yes, Yes, Yes
69,"ARWANA EMAS ENTERPRISE",G1,PERAK,MANJUNG, 01-24576332, , Yes, Yes, Yes
70,"ASAP LEGACY",G1,PERAK,, 0193901370, , Yes, Yes, Yes
71,"ASAS TUNJANG ENTERPRISE",G1,PERAK,MANJUNG, 056889970, 056889970, Yes, Yes, Yes
72,"ASBAMA ENTERPRISE",G1,PERAK,MANJUNG, -, -, Yes, Yes, Yes
73,"ASE VENTURE SDN. BHD.",G1,PERAK,MANJUNG, 01-24670273, , Yes, Yes, Yes
74,"ASHUAN ENTERPRISE",G1,PERAK,MANJUNG, 01-95737050, -, Yes, Yes, Yes
75,"ASM SERVICES ENTERPRISE",G1,PERAK,MANJUNG, 01-75810378, , Yes, Yes, Yes
76,"ASPIRASI ARMADA ENTERPRISE",G1,PERAK,MANJUNG, 05-6889711, , Yes, Yes, Yes
77,"ASQ RIZQI EMPIRE",G1,PERAK,MANJUNG, 01-95923078, , Yes, Yes, Yes
78,"ASSHAHAS ENTERPRISE",G1,PERAK,MANJUNG, 01-75721020, 0, Yes, Yes, Yes
79,"ASTAKA BAKTI ENTERPRISE",G1,PERAK,MANJUNG, 01-25757599, , Yes, Yes, Yes
80,"ASYRAAF 03 GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01-99546695, , Yes, Yes, Yes
81,"ATTAN HARDWARE & TOOLS SUPPLY SDN. BHD.",G1,PERAK,MANJUNG, 056883297, -, Yes, Yes, Yes
82,"AUFA ENTERPRISE",G1,PERAK,MANJUNG, 056791217, 056924243, Yes, Yes, Yes
83,"AWAL TAWAKAL ",G1,PERAK,MANJUNG, 01-25070769, , Yes, Yes, Yes
84,"AWAMIN ENTERPRISE",G1,PERAK,MANJUNG, 056887450, 056887450, Yes, Yes, Yes
85,"AWAN DANIA EMPIRE",G1,PERAK,MANJUNG, 01-65216134, , Yes, Yes, Yes
86,"AWN MAJU ENTERPRISE",G1,PERAK,MANJUNG, 01-75072761, , Yes, Yes, Yes
87,"AXL SUPPLY AND SERVICE",G1,PERAK,MANJUNG, 01-25460887, , Yes, Yes, Yes
88,"AZ ATHO ENTERPRISE",G1,PERAK,MANJUNG, 01-94370308, , Yes, Yes, Yes
89,"AZ MUTIARA SOLUTIONS",G1,PERAK,MANJUNG, 01-34005876, , Yes, Yes, Yes
90,"AZ WORLD EMPIRE",G1,PERAK,MANJUNG, 01-49473869, , Yes, Yes, 
91,"AZAFF GLOBAL",G1,PERAK,MANJUNG, 01-65559730, , Yes, Yes, Yes
92,"AZAM MAJU ENTERPRISE",G1,PERAK,MANJUNG, -, -, Yes, Yes, Yes
93,"AZBIJA ENTERPRISE",G1,PERAK,MANJUNG, 056913012, 056917915, Yes, Yes, Yes
94,"AZBUND CONSTRUCTION RESOURCES",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
95,"AZNORABINA ENTERPRISE",G1,PERAK,MANJUNG, 056793284, 056793284, Yes, Yes, Yes
96,"AZNQ LEGACY",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
97,"AZR BRICH RESOURCES",G1,PERAK,MANJUNG, 01-83184439, , Yes, Yes, Yes
98,"AZW GLOBAL ACE",G1,PERAK,MANJUNG, 01-69393814, , Yes, Yes, Yes
99,"BAKAH ENTERPRISE",G1,PERAK,MANJUNG, 01-27484804, -, Yes, Yes, Yes
100,"BAKAU BIRU ENTERPRISE",G1,PERAK,MANJUNG, 01-24096553, , Yes, Yes, Yes
101,"BAN SIN LEE ELECTRICAL & PLUMBING CONTRACTOR",G1,PERAK,MANJUNG, 056921289, 056921289, Yes, , 
102,"BARD PERMAI RESOURCES",G1,PERAK,MANJUNG, 01-95742550, , Yes, Yes, Yes
103,"BAYU BERNILAI ENTERPRISE",G1,PERAK,MANJUNG, 01-74336922, 0, Yes, Yes, Yes
104,"BAYU CERIA",G1,PERAK,MANJUNG, 01-35815360, 0, Yes, Yes, Yes
105,"BAYU KIARA ENTERPRISE",G1,PERAK,MANJUNG, 01-65195673, , Yes, , 
106,"BEBAS TEGUH RESOURCES",G1,PERAK,MANJUNG, 01-08777230, , Yes, Yes, Yes
107,"BEEZAM IKHLAS ENTERPRISE",G1,PERAK,MANJUNG, 0139952267, , Yes, Yes, Yes
108,"BELANDA COLLECTION ENTERPRISE",G1,PERAK,MANJUNG, 0173698085, , Yes, Yes, Yes
109,"BENA USHA RESOURCES",G1,PERAK,MANJUNG, 01-11639194, , Yes, Yes, Yes
110,"BENAMIR ENTERPRISE",G1,PERAK,MANJUNG, 01-95679316, , Yes, Yes, Yes
111,"BERKAT DIMENSI GLOBAL",G1,PERAK,MANJUNG, 01-89500823, , Yes, Yes, Yes
112,"BERKAT JUMAAT ENTERPRISE",G1,PERAK,MANJUNG, 01-95082697, , Yes, Yes, Yes
113,"BIG RED ENTERPRISE",G1,PERAK,MANJUNG, 01-99699699, , Yes, Yes, Yes
114,"BINA MUAFAKAT ENTERPRISE",G1,PERAK,MANJUNG, 0175653894, , Yes, Yes, Yes
