NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
59,BUDI ANTARA ENTERPRISE,G1,PERAK,MANJUNG,56833659,56833659, Yes, Yes, Yes
60,BUDI LEKIR ENTERPRISE,G1,PERAK,MANJUNG, 05-6884025, 05-6883991, Yes, Yes, Yes
61,BUDI MANJUNG ENTERPRISE,G1,PERAK,MANJUNG, -, -, Yes, Yes, Yes
62,BUDI SAUJANA ENTERPRISE,G1,PERAK,MANJUNG, 01-03763451,0, Yes, Yes, Yes
63,BUDIKOTA SDN. BHD.,G1,PERAK,MANJUNG,125128885, -, Yes, Yes, Yes
64,BUMI LESTARI ENTERPISE,G1,PERAK,MANJUNG, 01-97446921, , Yes, Yes, Yes
65,BYG 95 ENTERPRISE,G1,PERAK,MANJUNG,1124396120, , Yes, Yes, Yes
66,CAHAYA GEMBILANG ENTERPRISE,G1,PERAK,MANJUNG,135813072, -, Yes, Yes, Yes
67,CAHAYA KOTA ENTERPRISE,G1,PERAK,MANJUNG, 01-11620957, , Yes, Yes, Yes
68,CAHAYA TIGA C ENTERPRISE,G1,PERAK,MANJUNG, 01-34372021, , Yes, Yes, Yes
69,CAKRA JAYA ENTERPRISE,G1,PERAK,MANJUNG,56923775, -, Yes, Yes, Yes
70,CEMARA KURNIA SDN. BHD.,G1,PERAK,MANJUNG,56924201,56924201, Yes, Yes, Yes
71,CENTRIX SUPPLY AND SERVICES,G1,PERAK,MANJUNG,1137859606, , Yes, Yes, Yes
72,CERIA MURNI ENTERPRISE,G1,PERAK,MANJUNG,194080962, -, Yes, Yes, Yes
73,CHEWAA RESOURCES,G1,PERAK,MANJUNG, 01-24492266, , Yes, Yes, Yes
74,CMS MARINE ENGINEERING SDN. BHD.,G1,PERAK,MANJUNG, 01-84040688, , Yes, Yes, Yes
75,CMZ JAYA,G1,PERAK,MANJUNG,195242089, , Yes, Yes, Yes
76,COBL ENTERPRISE,G1,PERAK,MANJUNG, 01-97166059, , Yes, Yes, 
