NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
257,PERMODALAN NELAYAN (PERAK) SENDIRIAN BERHAD,G1,PERAK,MANJUNG, 05-6913816, 05-6910237, Yes, Yes, Yes
258,PERNIAGAAN ABDUL RANEE DAN ANAK,G1,PERAK,MANJUNG,1115398382, -, Yes, Yes, Yes
259,PESONA INDAH ENTERPRISE,G1,PERAK,MANJUNG,56792646, -, Yes, Yes, Yes
260,PROSTAR ENERGY ENTERPRISE,G1,PERAK,MANJUNG,0, , Yes, Yes, Yes
261,QAIYUM VENTURE,G1,PERAK,MANJUNG, 01-35291402, , Yes, Yes, Yes
262,QAMAR GREEN ENTERPRISE,G1,PERAK,MANJUNG,1132250831, , Yes, Yes, Yes
263,QANAAH RESOURCES,G1,PERAK,MANJUNG, 05-6884818, , Yes, Yes, Yes
264,R & Z PRIMA RESOURCES,G1,PERAK,MANJUNG, 01-95900436, , Yes, Yes, Yes
265,R&R REDZUAN ENTERPRISE,G1,PERAK,MANJUNG, 01-75715364, , Yes, Yes, Yes
266,RA SUCCESS ENTERPRISE,G1,PERAK,MANJUNG, 01-25045540, , Yes, Yes, Yes
267,RAC TECHNIC,G1,PERAK,MANJUNG,56882893,56882893, Yes, Yes, Yes
268,RAF ENGINEERING SDN. BHD.,G1,PERAK,MANJUNG, 01-82834581, , Yes, Yes, Yes
269,RAHMAN TEH ENTERPRISE SDN. BHD.,G1,PERAK,MANJUNG,56853393, 05-6851194, Yes, Yes, Yes
270,RAKEBA CONSTRUCTION & TRADING,G1,PERAK,MANJUNG,56887607,56887607, Yes, Yes, Yes
271,RASIHA ENTERPRISE,G1,PERAK,MANJUNG,0, , Yes, Yes, Yes
272,REALITI MELA ENTERPRISE,G1,PERAK,MANJUNG, 01-13783185, , Yes, Yes, Yes
273,REENA QASEH ,G1,PERAK,MANJUNG, 01-75578553, , Yes, Yes, Yes
274,RESTU JAYA RDM ENTERPRISE,G1,PERAK,MANJUNG, 01-49077489, , Yes, Yes, Yes
275,REZEKI AFIQ AMMAR ENTERPRISE,G1,PERAK,MANJUNG, 01-49443064, , Yes, Yes, Yes
276,REZEKI AIZ ENTERPRISE,G1,PERAK,MANJUNG, 01-24847149, , Yes, Yes, Yes
277,REZLAM EMPIRE,G1,PERAK,MANJUNG, 01-13250737, , Yes, Yes, Yes
278,RIDZA JAYA ENTERPRISE,G1,PERAK,MANJUNG,195783727, -, Yes, Yes, Yes
279,RISHNO ENTERPRISE,G1,PERAK,MANJUNG, 01-94462457,0, Yes, Yes, Yes
280,RIZMAR ENTERPRISE,G1,PERAK,MANJUNG,15230817, -, Yes, Yes, Yes
281,ROFILA ENTERPRISE,G1,PERAK,MANJUNG,56885981,56885984, Yes, Yes, Yes
282,ROSMIQ ENTERPRISE,G1,PERAK,MANJUNG,135315131, -, Yes, Yes, Yes
283,SA TERAS ENTERPRISE,G1,PERAK,MANJUNG, 01-35207983, , Yes, Yes, Yes
284,SAHABAT SAMUDERA SDN. BHD.,G1,PERAK,MANJUNG, 01-95506675, , Yes, Yes, Yes
285,SAKON ENTERPRISE,G1,PERAK,MANJUNG,1112475883,0, Yes, Yes, Yes
286,SAMBEL ENTERPRISE,G1,PERAK,MANJUNG, 01-03125120, -, Yes, Yes, Yes
287,SAMUDERA GLOBAL VENTURES,G1,PERAK,MANJUNG, 01-95520023, , Yes, Yes, Yes
288,SAMUDRA BINA ENTERPRISE,G1,PERAK,MANJUNG,56791298, -, Yes, Yes, Yes
289,SANGAI ENTERPRISE,G1,PERAK,MANJUNG, 01-36622590,52531855, Yes, Yes, Yes
290,SANY ENTERPRISE,G1,PERAK,MANJUNG, 01-99163477, , Yes, Yes, Yes
291,SARIF SABA ENTERPRISE,G1,PERAK,MANJUNG,195718419, -, Yes, Yes, Yes
292,SARJANA AMAN ENTERPRISE,G1,PERAK,MANJUNG,56885981,56885984, Yes, Yes, Yes
293,SATRIA JUANG ENTERPRISE,G1,PERAK,MANJUNG, 05-6792479, 05-6792479, Yes, Yes, Yes
294,SAZALI YAMAN ENTERPRISE,G1,PERAK,MANJUNG,56885288,56885894, Yes, Yes, Yes
295,SBR ENTERPRISE,G1,PERAK,MANJUNG, 01-35903175, -, Yes, Yes, Yes
296,SBY PERDANA TEKNIK ENTERPRISE,G1,PERAK,MANJUNG, 605-6881473, 605-6881473, Yes, Yes, Yes
297,SEJUTA ILHAM ENTERPRISE,G1,PERAK,MANJUNG,0, , Yes, Yes, Yes
298,SELECTION SERVICE & SUPPLY,G1,PERAK,MANJUNG, 01-65316104, , Yes, Yes, Yes
299,SEMARO ENTERPRISE,G1,PERAK,MANJUNG,56923843,56923953, Yes, Yes, Yes
300,SENTIASADA SDN. BHD.,G1,PERAK,MANJUNG, 01-25075062, , Yes, Yes, Yes
301,SEPADAN JAYA ENTERPRISE,G1,PERAK,MANJUNG, -, 05-6915346, Yes, Yes, Yes
302,SERI AGAR ENTERPRISE,G1,PERAK,MANJUNG, 01-46166285, , Yes, Yes, Yes
303,SERI CARGAS ENTERPRISE,G1,PERAK,MANJUNG, 05-6721540, -, Yes, Yes, Yes
304,SERI GUNONG ENTERPRISE,G1,PERAK,MANJUNG, 01-95742805,56887845, Yes, Yes, Yes
305,SERI HANI ENTERPRISE,G1,PERAK,MANJUNG,56312311,56889657, Yes, Yes, Yes
306,SERRA EMPIRE ENTERPRISE,G1,PERAK,MANJUNG, 01-94649067, , Yes, Yes, Yes
307,SHAFRA ENTERPRISE,G1,PERAK,MANJUNG, 01-35052909,0, Yes, Yes, Yes
308,SHAHLAL ENTERPRISE,G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
309,SHAHRULLI ENTERPRISE,G1,PERAK,MANJUNG, 01-25551014, -, Yes, Yes, Yes
310,SHIRAZ MURNI ENTERPRISE,G1,PERAK,MANJUNG, 01-95164195,56924777, Yes, Yes, Yes
311,SINAR WARISAN EMPIRE,G1,PERAK,MANJUNG, -, , Yes, Yes, Yes
312,SIRAWARA ENTERPRISE,G1,PERAK,MANJUNG,195491701, -, Yes, Yes, Yes
313,SITIAWAN VENTURES,G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
314,SMN SUPPLY AND SERVICES,G1,PERAK,MANJUNG,125155719, , Yes, Yes, Yes
315,SMZ FUTURE LEGACY,G1,PERAK,MANJUNG,185759263, , Yes, Yes, Yes
316,SN NOR ENTERPRISE,G1,PERAK,MANJUNG,56881019,56885640, Yes, Yes, Yes
317,SOFINA LEGACY ENTERPRISE,G1,PERAK,MANJUNG, 01-34150510, , Yes, Yes, Yes
318,SS LEKIR ENTERPRISE,G1,PERAK,MANJUNG,1111196588, -, Yes, Yes, Yes
319,SS NUR QASEH ENTERPRISE,G1,PERAK,MANJUNG, 01-34005876, , Yes, Yes, Yes
320,SUFI TEGUH ENTERPRISE,G1,PERAK,MANJUNG,195417926, , Yes, Yes, Yes
321,SUNGAI BATU IRONWORKS,G1,PERAK,MANJUNG, 01-75005207, -, Yes, Yes, Yes
322,SUNGAI CHE RAHMAT ENTERPRISE,G1,PERAK,MANJUNG,134383078, -, Yes, Yes, Yes
323,SUZ BINA ENTERPRISE,G1,PERAK,MANJUNG, 01-95762875,56882379, Yes, Yes, Yes
324,SYAIDA IDAMAN ENTERPRISE,G1,PERAK,MANJUNG, 01-49422810,0, Yes, Yes, Yes
325,SYARIKAT ARNIZA,G1,PERAK,MANJUNG, 05-6912014, 05-6926494, Yes, Yes, Yes
326,SYARIKAT BINA ANGKUT,G1,PERAK,MANJUNG, 01-05696285, -, Yes, Yes, Yes
327,SYARIKAT MAJU SURIA,G1,PERAK,MANJUNG, 01-94606123, , Yes, Yes, Yes
328,SYARIKAT MANSOR,G1,PERAK,MANJUNG, 05-6791307, -, Yes, Yes, Yes
329,SYARIKAT SERDANG SETIA,G1,PERAK,MANJUNG,133241872, -, Yes, Yes, Yes
330,TAMJID SUPPORT AND SERVICES,G1,PERAK,MANJUNG, 01-93580794, , Yes, Yes, Yes
331,TANJUNG PEREPAT ENTERPRISE,G1,PERAK,MANJUNG, 012-5404159, 05-6889850, Yes, Yes, Yes
332,TANJUNG RAYA ENTERPRISE,G1,PERAK,MANJUNG, 05-6728331, 05-6915569, Yes, Yes, Yes
333,TAZMAN ENTERPRISE,G1,PERAK,MANJUNG, 01-11253314, , Yes, Yes, Yes
334,TEGUH BERDIKARI ENTERPRISE,G1,PERAK,MANJUNG, 01-13250737, , Yes, Yes, Yes
335,TEGUH SAMUDERA ENTERPRISE,G1,PERAK,MANJUNG, 01-95098332, , Yes, Yes, Yes
336,TEKNOKRAT MAKMUR ENTERPRISE,G1,PERAK,MANJUNG,56881724, -, Yes, Yes, Yes
337,TEMASEK DAMAI ENTERPRISE,G1,PERAK,MANJUNG,56888169,56888169, Yes, Yes, Yes
338,TERAS SEKATA ENTERPRISE,G1,PERAK,MANJUNG, 01-95160564, , Yes, Yes, Yes
339,TERSOHOR TUNJANG ENTERPRISE,G1,PERAK,MANJUNG,195593500, -, Yes, Yes, Yes
340,TERUS PRODUKTIF ENTERPRISE,G1,PERAK,MANJUNG, 019-5778889, , Yes, Yes, Yes
341,THE FAIRUS FUTURE INDUSTRIAL,G1,PERAK,MANJUNG, 01-89563552, , Yes, Yes, Yes
342,THREE BBB ENTERPRISE,G1,PERAK,MANJUNG,56889424,56889425, Yes, Yes, Yes
343,TIANG SRI EMAS ENTERPRISE,G1,PERAK,MANJUNG, 01-12401425, -, Yes, Yes, Yes
344,TIMI ENTERPRISE,G1,PERAK,MANJUNG, 01-11097018, -, Yes, Yes, Yes
345,TRANZ ASM ENTERPRISE,G1,PERAK,MANJUNG,1111187436, , Yes, Yes, Yes
346,TWINS ENTERPRISE,G1,PERAK,MANJUNG, 01-42527479, -, Yes, Yes, Yes
347,UMBUT GLOBAL ENTERPRISE,G1,PERAK,MANJUNG, 11-23096396, , Yes, Yes, Yes
348,USAHA A N S ENTERPRISE,G1,PERAK,MANJUNG,195907981, -, Yes, Yes, Yes
349,USTB SERVICES,G1,PERAK,MANJUNG, 01-84071292,0, Yes, Yes, Yes
350,VISTA IMPIAN RESOURCES,G1,PERAK,MANJUNG, 01-63359510, , Yes, Yes, Yes
351,WAN ZAMOZA,G1,PERAK,MANJUNG,125066770, -, Yes, Yes, Yes
352,WANS EXCLUSIVE,G1,PERAK,MANJUNG,125026661, , Yes, Yes, Yes
353,WARISAN SERTING ENTERPRISE,G1,PERAK,MANJUNG, 01-25066305, -, Yes, Yes, Yes
354,WAWASAN GIAT ENTERPRISE,G1,PERAK,MANJUNG, 01-94776455,0, Yes, Yes, Yes
355,WAWASAN USAHASAMA ENTERPRISE,G1,PERAK,MANJUNG, 01-35838687, , Yes, Yes, Yes
356,WINNER CONSTRUCTION ENTERPRISE,G1,PERAK,MANJUNG, 01-82454784, -, Yes, Yes, Yes
357,WJ UIM ENTERPRISE,G1,PERAK,MANJUNG, 01-74061045, , Yes, Yes, Yes
358,WNH LYKA ENTERPRISE,G1,PERAK,MANJUNG,163406376, , Yes, Yes, Yes
359,XAMID ENTERPRISE,G1,PERAK,MANJUNG, 01-64222771, -, Yes, Yes, Yes
360,YA MANJUNG ENTERPRISE,G1,PERAK,MANJUNG, 05-6886658, 05-6886658, Yes, Yes, Yes
361,YANZHD ENTERPRISE,G1,PERAK,MANJUNG, 01-95421181, , Yes, Yes, Yes
362,YANZIE ENTERPRISE,G1,PERAK,MANJUNG,56888129,56888129, Yes, Yes, Yes
363,YANZSON ENTERPRISE,G1,PERAK,MANJUNG, 01-95421181, , Yes, Yes, Yes
364,YAQQIN ENTERPRISE,G1,PERAK,MANJUNG, 01-96187484, -, Yes, Yes, Yes
365,YPVS ENTERPRISE,G1,PERAK,MANJUNG,56928020,56928020, Yes, Yes, Yes
366,Z & R BINA,G1,PERAK,MANJUNG,134455096, -, Yes, Yes, Yes
367,ZAFRAN MARINE GLOBAL,G1,PERAK,MANJUNG, 01-95722562, , Yes, Yes, Yes
368,ZAHRIFF ENTERPRISE,G1,PERAK,MANJUNG,56871440, , Yes, Yes, Yes
369,ZAI BAHARI ENTERPRISE,G1,PERAK,MANJUNG,1121538825, , Yes, Yes, Yes
370,ZAID YAKIN ENTERPRISE,G1,PERAK,MANJUNG,195065680, -, Yes, Yes, Yes
371,ZALI MAJU RESOURCES,G1,PERAK,MANJUNG, 01-95676486, , Yes, Yes, Yes
372,ZALIDA TECH ENTERPRISE,G1,PERAK,MANJUNG, 01-65670220, , Yes, Yes, Yes
373,ZAMISHA ENTERPRISE,G1,PERAK,MANJUNG, 05-6884546, 05-6871441, Yes, Yes, Yes
374,ZAQ SUTERA ENTERPRISE,G1,PERAK,MANJUNG, 01-65575175, -, Yes, Yes, Yes
375,ZAZAFI ENTERPRISE,G1,PERAK,MANJUNG, 01-26643445, -, Yes, Yes, Yes
376,ZAZDIN ENTERPRISE,G1,PERAK,MANJUNG,56721280,56721280, Yes, Yes, Yes
377,ZEKHAL GLOBAL ENTERPRISE,G1,PERAK,MANJUNG, 01-37692339, , Yes, Yes, Yes
378,ZF OREN RESOURCES,G1,PERAK,MANJUNG, 01-36149477,0, Yes, Yes, Yes
379,ZNL JAYA ENTERPRISE,G1,PERAK,MANJUNG, 01-95762875, , Yes, Yes, Yes
380,ZR DIAMOND RESOURCES,G1,PERAK,MANJUNG, 01-95790548, , Yes, Yes, Yes
381,ZULFIKRI MAJU ENTERPRISE,G1,PERAK,MANJUNG, 01-62549903, , Yes, Yes, Yes
382,ZULIA EMPIRE ENTERPRISE,G1,PERAK,MANJUNG, 01-34293794, , Yes, Yes, Yes
383,ZULIENA ENTERPRISE,G1,PERAK,MANJUNG, 01-95913131, , Yes, Yes, Yes
384,ZULRAIS ENTERPRISE,G1,PERAK,MANJUNG, 01-35311760, -, Yes, Yes, Yes
